,"Crop And Animal Production, Hunting And Related Service Activities  ",Forestry And Logging  ,Fishing And Aquaculture  ,Mining Of Coal And Lignite  ,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,Other Mining And Quarrying  ,Mining Support Service Activities  ,Processing and preserving of meat and production of meat products,"Processing and preserving of fish, crustaceans, molluscs, fruit and vegetables",Manufacture of vegetable and animal oils and fats,Manufacture of dairy products,"Manufacture of grain mill products, starches and starch products",Manufacture of bakery and farinaceous products,Manufacture of other food products,Manufacture of prepared animal feeds,Manufacture of alcoholic beverages  & Tobacco Products,Manufacture of soft drinks; production of mineral waters and other bottled waters,Manufacture Of Textiles  ,Manufacture Of Wearing Apparel  ,Manufacture Of Leather And Related Products  ,"Manufacture Of Wood & Products Of Wood & Cork, Except Furniture; Manuf. Of Articles Of Straw",Manufacture Of Paper And Paper Products  ,Printing And Reproduction Of Recorded Media  ,Manufacture Of Coke And Refined Petroleum Products  ,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics","Manufacture of soap & detergents, cleaning & polishing, perfumes & toilet preparations",Manufacture of other chemical products,"Manufacture of industrial gases, inorganics and fertilisers (inorganic chemicals) - 20.11/13/15",Manufacture of petrochemicals - 20.14/16/17/60,"Manufacture of dyestuffs, agro-chemicals - 20.12/20",Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,Manufacture Of Rubber And Plastic Products  ,"Manufacture of cement, lime, plaster and articles of concrete, cement and plaster","Manufacture of glass, refractory, clay, porcelain, ceramic, stone products - 23.1-4/7-9",Manufacture of basic iron and steel,Manufacture of other basic metals and casting,Manufacture of weapons and ammunition,"Manufacture of fabricated metal products, excluding weapons & ammunition - 25.1-3/5-9","Manufacture Of Computer, Electronic And Optical Products  ",Manufacture Of Electrical Equipment  ,Manufacture Of Machinery And Equipment N.E.C.  ,"Manufacture Of Motor Vehicles, Trailers And Semi-Trailers  ",Building of ships and boats,Manufacture of air and spacecraft and related machinery,Manufacture of other transport equipment - 30.2/4/9,Manufacture Of Furniture  ,Other Manufacturing  ,Repair and maintenance of ships and boats,Repair and maintenance of aircraft and spacecraft,Rest of repair; Installation - 33.11-14/17/19/20,"Electric power generation, transmission and distribution",Manufacture of gas; distribution of gaseous fuels through mains; steam and aircon supply,"Water Collection, Treatment And Supply  ",Sewerage  ,"Waste Collection, Treatment And Disposal Activities; Materials Recovery  ",Remediation Activities And Other Waste Management Services  ,Construction,Wholesale And Retail Trade And Repair Of Motor Vehicles And Motorcycles  ,"Wholesale Trade, Except Of Motor Vehicles And Motorcycles  ","Retail Trade, Except Of Motor Vehicles And Motorcycles  ",Rail transport,"Land transport services and transport services via pipelines, excluding rail transport",Water Transport  ,Air Transport  ,Warehousing And Support Activities For Transportation  ,Postal And Courier Activities  ,Accommodation  ,Food And Beverage Service Activities  ,Publishing Activities  ,"Motion Picture, Video & TV Programme Production, Sound Recording & Music Publishing Activities & Programming And Broadcasting Activities",Telecommunications  ,"Computer Programming, Consultancy And Related Activities  ",Information Service Activities  ,"Financial Service Activities, Except Insurance And Pension Funding  ","Insurance, reinsurance and pension funding services, except compulsory social security",Activities Auxiliary To Financial Services And Insurance Activities  ,Real estate services on a fee or contract basis  ,Owner-Occupiers' Housing,"Buying and selling, renting and operating of own or leased real estate, excluding imputed rent",Legal activities  ,"Accounting, bookkeeping and auditing activities; tax consultancy  ",Activities Of Head Offices; Management Consultancy Activities  ,Architectural And Engineering Activities; Technical Testing And Analysis  ,Scientific Research And Development  ,Advertising And Market Research  ,"Other Professional, Scientific And Technical Activities  ",Veterinary Activities  ,Rental And Leasing Activities  ,Employment Activities  ,"Travel Agency, Tour Operator And Other Reservation Service And Related Activities  ",Security And Investigation Activities  ,Services To Buildings And Landscape Activities  ,"Office Administrative, Office Support And Other Business Support Activities  ",Public Administration And Defence; Compulsory Social Security  ,Education  ,Human Health Activities,Residential Care  & Social Work Activities,"Creative, Arts And Entertainment Activities  ","Libraries, Archives, Museums And Other Cultural Activities  ",Gambling And Betting Activities  ,Sports Activities And Amusement And Recreation Activities  ,Activities Of Membership Organisations  ,Repair Of Computers And Personal And Household Goods  ,Other Personal Service Activities  ,Activities Of Households As Employers Of Domestic Personnel  
"Products of agriculture, hunting and related services         ",443,3,0,0,0,1,0,166,15,27,5,98,12,169,20,129,1,21,2,2,0,0,0,0,0,12,5,4,15,0,7,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,9,0,139,0,0,4,0,0,0,0,5,31,0,0,0,1,0,0,0,1,0,0,9,0,0,0,3,3,0,2,1,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"Products of forestry, logging and related services         ",1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fish and other fishing products; aquaculture products; support services to fishing     ,0,0,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Coal and lignite             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,178,4,0,0,0,0,23,1,0,0,0,0,0,0,0,0,619,107,0,0,0,0,7,0,1,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,0,0,0,0,168,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,"23,148",2,2,11,4,355,99,6,12,0,2,107,248,0,1,0,0,14,1,0,0,0,1,1,0,1,1,"2,073","5,115",0,0,0,0,77,0,25,0,0,20,0,0,0,0,0,31,0,0,0,21,0,0,0,0,0,0,26,3,4,4,102,33,0,6,0,7,0,0,0,0,10,0,0,0,0,0,0,0,0,0,52,0,0
Other mining and quarrying products           ,0,0,0,0,0,496,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,10,0,4,18,5,1,2,26,382,517,0,21,0,10,1,0,7,2,0,0,0,0,30,0,0,2,0,0,0,0,0,0,86,0,25,0,0,24,0,0,4,0,0,8,0,0,0,3,0,0,0,1,0,0,17,2,2,0,5,7,0,3,0,10,0,0,1,41,5,1,0,0,0,0,0,0,0,0,0,0,0
Mining support services             ,0,0,0,0,38,29,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Preserved meat and meat products           ,2,0,0,0,0,0,0,55,3,26,0,0,1,22,21,0,0,2,0,15,0,0,0,0,0,2,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1,1,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,1,16,3,0,1,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Processed and preserved fish, crustaceans, molluscs, fruit and vegetables       ",0,0,0,0,0,0,0,1,12,1,0,2,13,6,70,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,1,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Vegetable and animal oils and fats          ,0,0,0,0,0,0,0,45,19,322,4,2,40,127,80,0,0,0,0,0,0,0,0,2,1,32,2,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,24,4,0,6,0,0,3,0,1,13,1,0,0,1,0,9,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,1,26,0,0,1,0,0,0,0,0,0,0,1,0
Dairy products              ,0,0,0,0,0,0,0,6,1,0,59,1,5,44,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,2,0,0,0,1,0,28,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grain mill products, starches and starch products         ",0,0,0,0,0,0,0,12,6,43,5,298,65,94,19,12,0,0,0,0,0,19,0,0,0,6,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Bakery and farinaceous products            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other food products             ,2,0,0,0,0,0,0,53,15,4,36,15,123,432,42,3,4,0,0,0,0,0,0,0,0,29,4,0,1,1,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,25,12,0,1,0,0,20,2,0,9,0,0,0,1,0,58,0,0,0,0,4,0,0,1,0,4,2,0,0,1,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,9,0
Prepared animal feeds             ,9,0,4,0,0,0,0,1,0,1,0,1,0,0,86,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Alcoholic beverages  & Tobacco products,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,3,0,1,0,199,"1,343",0,0,0,1,0,11,1,2,0,0,12,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,6,2,3,6,10,0,1,0
Soft drinks              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Textiles               ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,610,165,7,2,26,5,0,0,5,2,0,3,0,3,16,0,8,0,0,0,2,1,1,2,53,0,0,0,97,43,0,0,8,0,0,0,0,0,0,9,2,223,0,0,3,0,0,0,0,0,8,0,0,0,3,0,13,0,0,0,0,8,0,0,0,1,9,0,11,0,1,0,0,0,0,1,0,0,10,0,0,0,0,2,0,1,36,0
Wearing apparel              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,238,129,0,0,0,0,0,0,0,18,0,0,0,1,0,3,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,12,0,0,21,0
Leather and related products            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,7,380,35,0,0,0,0,0,0,0,3,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,0,0,"1,910",32,7,0,1,0,1,0,0,0,2,12,59,3,1,0,0,54,1,2,4,62,7,1,1,512,41,0,0,8,0,0,0,0,1,0,961,0,134,6,0,5,0,0,0,0,1,51,0,0,0,11,0,5,0,0,0,0,36,0,1,1,1,12,0,3,0,5,0,0,4,294,5,0,0,0,0,1,0,0,0,0,0,37,0
Paper and paper products            ,8,0,0,0,0,3,0,13,19,5,8,1,8,36,8,23,0,29,7,3,25,"1,830","1,222",2,5,40,12,1,5,2,29,87,34,10,0,5,0,20,12,11,38,10,0,2,0,4,167,0,0,9,0,0,0,0,1,0,7,3,518,96,0,4,0,2,98,17,0,50,46,0,2,62,1,182,0,4,25,0,24,3,1,61,5,16,74,11,1,16,0,0,0,5,99,0,0,3,0,18,1,0,0,0,1,33,0
Printing and recording services            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coke and refined petroleum products           ,1,0,0,0,31,8,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,"1,389",1,1,8,5,10,4,4,32,6,14,9,2,0,3,1,1,7,22,0,0,0,0,34,0,0,2,0,0,0,0,0,0,0,13,217,681,0,"2,712",0,"4,096",1,0,0,148,0,0,0,33,0,174,0,154,0,0,69,1,0,7,2,13,5,3,0,8,0,0,0,0,46,521,0,0,0,0,4,1,2,0,0,5,0
"Paints, varnishes and similar coatings, printing ink and mastics       ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,132,217,0,78,0,5,0,4,0,0,28,6,2,4,0,0,153,2,4,39,115,0,0,0,5,21,0,0,13,0,0,0,0,0,0,178,0,44,0,0,2,0,0,0,0,0,6,7,0,0,7,0,3,0,0,0,0,3,0,0,0,1,12,14,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations     ",0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,44,4,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,23,0
Other chemical products             ,0,0,0,1,0,25,28,21,5,5,7,7,6,103,3,0,0,10,0,17,41,206,37,163,82,403,994,8,125,15,399,259,81,10,3,7,43,119,86,10,123,2,0,3,3,5,24,1,0,54,0,0,0,1,0,1,73,0,246,1,0,15,0,0,3,0,0,29,8,1,0,18,0,4,0,4,0,0,12,3,2,8,108,125,3,12,0,4,0,0,0,17,15,1,27,318,3,0,0,0,0,0,0,0,0
"Industrial gases, inorganics and fertilisers (all inorganic chemicals) - 20.11/13/15      ",24,0,0,0,0,3,0,0,1,0,0,1,0,3,0,5,3,3,0,0,0,3,0,1,17,14,117,843,829,77,41,57,9,37,12,1,0,44,19,7,80,5,0,2,0,1,4,0,0,6,0,0,2,0,1,0,2,0,50,0,0,13,0,0,0,0,0,14,0,0,0,3,0,4,0,0,0,0,5,1,1,1,4,24,0,6,0,2,0,0,0,0,9,1,0,4,0,0,0,0,0,3,0,0,0
Petrochemicals - 20.14/16/17/60             ,0,0,0,0,0,34,1,0,1,1,0,1,0,6,0,2,41,128,7,6,8,28,7,130,232,50,252,34,"2,088",36,185,"1,864",67,52,10,8,3,53,60,87,17,401,16,78,2,74,87,4,0,18,0,0,18,7,2,0,21,1,249,1,0,21,0,0,0,0,0,46,1,0,0,40,0,0,0,1,0,0,48,3,3,22,346,212,0,23,0,8,0,0,0,1,17,12,2,0,0,0,0,0,0,0,2,0,0
"Dyestuffs, agro-chemicals - 20.12/20            ",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,36,3,0,0,7,0,0,140,7,6,13,52,228,1,33,10,1,1,0,0,1,0,5,1,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,2,0,18,0,0,2,0,0,0,0,0,3,0,0,0,2,0,4,0,0,0,0,1,0,0,0,1,14,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Basic pharmaceutical products and pharmaceutical preparations          ,2,0,0,0,0,0,0,0,0,1,0,1,0,13,46,0,0,3,1,0,0,0,1,1,0,46,21,0,5,11,"2,636",1,0,0,0,0,0,0,11,0,4,0,0,0,0,0,111,0,0,7,12,2,0,0,0,0,4,1,89,2,0,2,0,0,0,0,0,32,0,0,0,27,1,0,0,0,0,0,12,4,4,4,5,171,0,17,15,3,0,0,0,0,23,0,4,"3,306",0,0,0,0,0,0,0,0,0
Rubber and plastic products            ,26,0,3,1,0,9,0,68,16,12,52,6,54,148,19,14,15,122,11,4,36,380,208,9,38,196,55,24,59,8,142,"3,134",22,51,3,9,1,173,53,93,184,"1,039",4,77,8,71,282,7,1,75,0,0,3,0,8,1,91,298,722,131,0,45,0,0,19,2,0,70,4,0,2,56,0,126,0,16,0,0,70,2,2,5,9,110,11,8,1,10,1,0,1,53,346,4,1,1,4,5,1,0,2,0,3,53,0
"Cement, lime, plaster and articles of concrete, cement and plaster ",0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,1,1,0,0,1,472,45,0,1,0,9,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,155,0,88,0,0,7,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,2,0,1,0,1,1,0,1,0,1,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0
"Glass, refractory, clay, other porcelain and ceramic, stone and abrasive products - 23.1-4/7-9   ",0,0,0,0,0,33,0,1,0,0,0,0,1,9,0,38,6,4,0,0,15,1,1,0,2,35,1,1,22,1,28,157,32,436,19,7,0,77,25,29,9,649,12,1,1,2,5,0,0,9,0,0,0,0,1,0,552,25,228,100,0,6,0,0,3,0,3,26,0,0,0,5,0,0,0,1,0,0,26,1,1,0,4,45,0,3,0,2,0,0,0,3,2,0,2,0,0,3,2,0,0,0,0,71,0
Basic iron and steel            ,0,0,0,3,55,0,11,1,0,0,0,0,0,0,0,0,0,2,0,0,2,1,6,1,3,0,2,0,2,0,5,36,19,5,"1,207",122,0,"1,754",34,36,"1,131","1,185",13,52,6,16,64,0,1,234,0,0,0,0,2,0,171,0,195,0,0,20,0,0,0,0,0,69,0,0,0,25,0,0,0,3,0,0,46,2,1,4,105,118,0,6,0,8,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
Other basic metals and casting           ,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,2,1,2,8,6,0,2,1,20,1,7,0,32,90,1,9,329,"1,810",2,"1,008",54,264,170,"1,487",7,542,15,19,297,0,10,98,2,0,1,0,0,0,71,0,126,0,0,34,0,0,0,0,0,45,1,0,0,13,0,1,0,1,0,0,31,2,2,0,16,153,0,5,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0
Weapons and ammunition             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,266,3,0,0,29,0,1,3,0,0,1,2,0,112,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,36,0,0,0,1,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0
"Fabricated metal products, excl. machinery and equipment and weapons & ammunition - 25.1-3/25.5-9   ",6,0,3,0,23,3,51,3,2,0,0,0,1,6,3,28,3,26,3,3,55,31,15,2,6,16,9,2,14,1,28,265,32,54,86,93,3,"1,930",93,186,717,"1,257",47,453,22,176,185,2,8,263,20,4,1,0,2,0,"1,313",79,437,177,0,25,0,0,2,0,1,72,1,0,0,29,0,19,0,2,0,0,72,3,2,7,154,147,1,12,0,9,0,0,1,18,160,7,2,1,0,0,1,0,4,0,2,22,0
"Computer, electronic and optical products           ",23,2,2,0,97,1,5,3,2,0,0,2,6,4,5,4,7,9,6,1,3,7,43,2,10,3,21,1,5,2,100,19,3,13,4,3,34,68,950,254,321,899,8,125,8,8,41,0,1,287,0,28,28,6,53,2,776,60,478,215,10,49,4,0,157,31,18,150,181,"1,197",546,361,191,71,27,35,51,12,93,19,10,46,409,333,282,181,23,106,80,51,48,62,37,"4,359",890,"5,232",300,0,37,8,33,1,75,129,0
Electrical equipment              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,0,3,0,3,0,3,0,2,0,7,20,1,11,2,8,5,80,362,"1,314",324,210,7,427,9,2,102,2,7,308,268,52,0,0,5,0,293,73,154,216,0,16,0,0,3,2,0,81,2,0,48,52,4,24,0,1,0,0,39,2,2,72,149,119,6,8,0,41,1,0,11,0,8,18,7,1,1,0,1,0,3,0,4,4,0
Machinery and equipment n.e.c.            ,10,1,0,2,65,7,160,29,7,2,1,2,11,45,3,5,20,19,4,1,31,57,23,35,11,5,16,14,26,6,35,132,33,34,73,48,2,416,124,146,"1,822","1,840",76,232,18,21,181,2,8,488,83,25,20,0,34,0,335,158,910,69,0,44,3,0,50,7,0,83,1,0,1,50,0,0,0,13,0,0,33,3,2,9,191,204,37,11,0,133,0,0,1,12,13,41,0,0,0,0,0,0,5,0,5,18,0
"Motor vehicles, trailers and semi-trailers           ",0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,26,1,30,1,0,0,93,29,33,295,"8,750",2,4,5,3,4,0,0,98,0,0,0,1,1,0,35,"2,256",78,15,0,56,0,0,25,5,0,84,1,0,0,63,0,13,0,2,0,0,41,4,4,23,36,486,11,9,0,28,5,0,2,2,22,207,0,0,0,0,0,1,36,0,0,8,0
