product,"Products of agriculture, hunting and related services         ","Products of forestry, logging and related services         ",Fish and other fishing products; aquaculture products; support services to fishing     ,Coal and lignite             ,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,Other mining and quarrying products           ,Mining support services             ,Preserved meat and meat products           ,"Processed and preserved fish, crustaceans, molluscs, fruit and vegetables       ",Vegetable and animal oils and fats          ,Dairy products              ,"Grain mill products, starches and starch products         ",Bakery and farinaceous products            ,Other food products             ,Prepared animal feeds             ,Alcoholic beverages  & Tobacco products,Soft drinks              ,Textiles               ,Wearing apparel              ,Leather and related products            ,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",Paper and paper products            ,Printing and recording services            ,Coke and refined petroleum products           ,"Paints, varnishes and similar coatings, printing ink and mastics       ","Soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations     ",Other chemical products             ,"Industrial gases, inorganics and fertilisers (all inorganic chemicals) - 20.11/13/15      ",Petrochemicals - 20.14/16/17/60             ,"Dyestuffs, agro-chemicals - 20.12/20            ",Basic pharmaceutical products and pharmaceutical preparations          ,Rubber and plastic products            ,"Cement, lime, plaster and articles of concrete, cement and plaster ","Glass, refractory, clay, other porcelain and ceramic, stone and abrasive products - 23.1-4/7-9   ",Basic iron and steel            ,Other basic metals and casting           ,Weapons and ammunition             ,"Fabricated metal products, excl. machinery and equipment and weapons & ammunition - 25.1-3/25.5-9   ","Computer, electronic and optical products           ",Electrical equipment              ,Machinery and equipment n.e.c.            ,"Motor vehicles, trailers and semi-trailers           ",Ships and boats             ,Air and spacecraft and related machinery          ,Other transport equipment - 30.2/4/9           ,Furniture               ,Other manufactured goods             ,Repair and maintenance of ships and boats         ,Repair and maintenance of aircraft and spacecraft         ,Rest of repair; Installation - 33.11-14/17/19/20          ,"Electricity, transmission and distribution",Gas; distribution of gaseous fuels through mains; steam and air conditioning supply    ,Natural water; water treatment and supply services         ,Sewerage services; sewage sludge            ,"Waste collection, treatment and disposal services; materials recovery services       ",Remediation services and other waste management services         ,Construction,Wholesale and retail trade and repair services of motor vehicles and motorcycles    ,"Wholesale trade services, except of motor vehicles and motorcycles       ","Retail trade services, except of motor vehicles and motorcycles       ",Rail transport services             ,"Land transport services and transport services via pipelines, excluding rail transport     ",Water transport services             ,Air transport services             ,Warehousing and support services for transportation          ,Postal and courier services            ,Accommodation services              ,Food and beverage serving services           ,Publishing services              ,"Motion Picture, Video & TV Programme Production, Sound Recording & Music Publishing Activities & Programming And Broadcasting Activities",Telecommunications services              ,"Computer programming, consultancy and related services          ",Information services              ,"Financial services, except insurance and pension funding         ","Insurance, reinsurance and pension funding services, except compulsory social security",Services auxiliary to financial services and insurance services        ,Real estate services on a fee or contract basis       ,Owner-Occupiers' Housing Services,"Real estate services, excluding on a fee or contract basis and imputed rent   ",Legal services              ,"Accounting, bookkeeping and auditing services; tax consulting services        ",Services of head offices; management consulting services         ,Architectural and engineering services; technical testing and analysis services       ,Scientific research and development services           ,Advertising and market research services           ,"Other professional, scientific and technical services          ",Veterinary services              ,Rental and leasing services            ,Employment services              ,"Travel agency, tour operator and other reservation services and related services     ",Security and investigation services            ,Services to buildings and landscape           ,"Office administrative, office support and other business support services       ",Public administration and defence services; compulsory social security services       ,Education services              ,Human health services             ,Residential Care  & Social Work Activities,"Creative, arts and entertainment services           ","Libraries, archives, museums and other cultural services         ",Gambling and betting services            ,Sports services and amusement and recreation services         ,Services furnished by membership organisations           ,Repair services of computers and personal and household goods       ,Other personal services             ,Services of households as employers of domestic personnel        
"Products of agriculture, hunting and related services         ","3,198",0,0,0,0,5,0,"5,007","1,238",110,"3,253",709,1,34,792,406,7,0,0,8,0,0,0,0,1,2,11,7,8,1,133,3,1,1,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,103,21,0,0,3,0,68,0,190,0,0,42,0,0,0,0,49,206,0,0,0,9,1,0,0,1,0,0,102,4,3,0,25,23,0,14,13,27,0,0,0,0,5,0,2,14,32,0,0,20,2,0,2,0,0
"Products of forestry, logging and related services         ",114,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,466,257,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,18,5,0,0,0,477,83,0,0,0,0,7,0,29,1,0,3,0,0,0,0,13,13,0,0,0,6,0,0,0,0,0,0,17,0,0,0,2,1,0,1,0,8,0,0,0,0,1,0,2,0,1,0,0,0,20,0,2,0,0
Fish and other fishing products; aquaculture products; support services to fishing     ,0,0,35,0,0,0,0,6,847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,11,0,0,0,0,24,234,0,0,0,1,0,0,0,0,0,0,18,0,0,0,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal and lignite             ,0,0,0,12,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,48,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,15,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,18,0,0,0
Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,0,0,0,0,729,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,11,0,0,0,2,1,0,2,0,4,0,0,1,0,0,0,0,0,0,0,0,0,"2,890",501,0,0,0,0,34,0,7,0,0,17,2,0,0,0,0,14,0,0,0,2,0,0,1,3,0,0,44,2,2,0,19,3,0,5,0,1,0,0,0,0,6,0,0,0,0,0,0,0,3,0,1,0,0
Other mining and quarrying products           ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,6,0,1,9,3,1,0,9,19,113,5,1,0,242,0,0,10,2,0,0,0,1,0,0,0,10,0,0,0,0,0,0,"2,389",0,8,2,0,2,0,0,0,0,2,25,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,3,0,5,0,1,0,0,0,31,1,2,0,0,0,0,0,0,0,0,0,0,0
Mining support services             ,0,0,0,0,"2,143",316,925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,64,23,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,29,0,0,117,0,0,0,0,0,27,0,0,0,9,0,0,0,0,0,0,5,3,3,0,77,13,0,10,0,8,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
Preserved meat and meat products           ,10,1,1,0,6,2,2,"3,589",49,13,19,54,109,659,190,52,6,0,2,9,5,7,4,6,2,46,11,1,7,1,8,11,3,3,0,3,3,5,53,46,99,37,1,5,1,0,1,0,1,27,18,6,4,0,3,0,10,135,698,145,5,206,16,7,178,40,339,"2,298",12,17,11,70,6,6,4,2,0,0,70,0,1,1,2,55,16,14,1,7,15,13,3,18,9,64,515,241,303,8,2,19,25,10,22,16,0
"Processed and preserved fish, crustaceans, molluscs, fruit and vegetables       ",7,0,0,0,5,2,2,92,815,12,36,69,162,604,0,111,165,2,2,0,2,5,2,3,2,42,6,1,4,0,2,7,2,1,0,3,2,4,33,30,65,23,1,4,0,4,2,0,0,18,13,3,4,0,3,0,14,91,71,95,74,198,10,2,164,28,366,"1,043",50,12,7,48,5,44,9,1,0,0,76,1,1,2,3,37,22,8,0,6,10,7,2,13,61,32,330,103,198,5,1,18,64,7,13,10,0
Vegetable and animal oils and fats          ,0,0,0,0,1,0,0,0,38,56,1,385,88,6,1,3,0,0,0,0,0,0,0,0,3,1,0,0,4,0,0,1,0,0,2,0,0,0,2,3,6,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,9,5,0,17,1,0,12,4,18,351,4,2,1,4,0,1,2,0,0,0,33,0,0,0,0,5,2,2,0,1,1,1,0,0,2,0,39,15,44,1,0,2,12,2,2,1,0
Dairy products              ,6,0,0,0,4,1,2,42,39,4,631,16,422,291,1,27,3,1,1,0,1,3,2,4,2,20,3,0,3,0,0,6,2,0,0,2,1,1,9,7,6,3,0,3,0,3,2,0,0,3,13,2,3,0,3,0,8,82,35,86,2,97,10,4,84,21,157,519,48,11,7,39,4,0,4,25,0,0,41,0,0,1,1,18,19,8,2,3,8,7,2,10,53,1,158,36,40,5,1,22,44,6,12,9,0
"Grain mill products, starches and starch products         ",4,0,0,0,0,0,0,239,65,90,2,584,638,151,571,518,1,0,0,0,0,3,0,0,0,7,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,112,14,0,3,0,0,1,0,0,329,0,0,0,4,0,0,0,1,0,0,15,0,0,0,1,15,2,1,0,3,0,0,0,0,2,4,98,25,79,1,0,3,21,0,0,1,0
Bakery and farinaceous products            ,11,1,0,0,6,1,2,47,9,6,6,9,151,163,4,47,1,2,2,0,5,5,2,4,1,12,3,1,5,0,7,9,4,1,0,3,2,5,44,39,86,32,1,4,0,6,3,0,0,23,18,5,5,0,4,0,9,121,34,125,3,250,15,5,218,44,152,"1,403",64,16,9,54,5,26,9,14,0,0,49,0,2,2,2,28,26,10,1,3,13,10,2,15,75,0,219,81,135,6,2,17,66,10,19,15,0
Other food products             ,2,0,0,0,2,1,2,225,363,59,100,382,557,"1,291",7,80,224,1,1,0,3,4,2,2,0,85,12,0,3,0,1,3,3,0,0,2,1,2,16,13,32,12,0,2,0,2,0,0,0,9,5,1,2,0,3,0,7,45,89,39,3,102,6,3,64,13,251,"2,229",25,11,5,31,2,0,11,28,0,0,75,0,2,1,8,38,15,5,0,6,6,4,0,5,4,0,280,165,384,19,0,23,99,25,7,1,0
Prepared animal feeds             ,"1,233",0,269,0,0,0,0,6,4,13,4,3,0,3,"1,014",0,0,0,0,0,0,0,0,0,1,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,93,1,0,10,2,0,0,0,14,20,0,16,0,3,0,0,0,0,0,0,52,1,1,0,8,5,6,4,5,9,0,0,0,0,2,0,1,0,0,12,4,6,31,13,0,1,0
Alcoholic beverages  & Tobacco products,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,198,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,16,4,0,1,1,0,2,1,469,"2,997",0,0,0,3,0,5,1,4,0,0,14,0,1,0,0,2,2,0,0,1,0,0,0,0,1,0,0,0,2,7,4,2,24,49,0,0,0
Soft drinks              ,0,0,0,0,0,0,0,0,5,0,0,0,0,11,0,28,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,4,10,0,2,3,0,3,1,136,"1,068",2,279,0,7,0,31,3,12,0,0,52,0,0,0,0,7,56,0,0,1,0,0,0,0,1,4,88,0,43,0,13,5,30,9,0,2,0
Textiles               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,335,6,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,1,0,162,0,0,0,34,0,0,1,1,0,0,0,0,0,0,278,0,327,0,0,2,0,0,0,0,0,11,0,0,0,1,0,1,4,1,0,6,21,0,0,0,1,13,0,141,0,0,0,0,0,0,1,14,28,84,0,0,1,0,2,1,0,16,0
Wearing apparel              ,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,1,0,0,1,0,1,0,1,0,0,0,2,0,5,3,5,0,1,16,0,0,0,0,3,0,0,0,0,0,0,0,0,0,134,17,87,23,1,0,2,1,3,0,1,0
Leather and related products            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,1,0,0,0,0,0,0,0,0,0,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,9,0,0,27,0,0,0,0,2,0,0,0,0,0,0,0,0,0,124,0,0,0,0,1,1,2,0,2,5,0
"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",0,0,0,0,15,0,0,2,0,0,0,0,0,0,0,0,0,6,1,1,8,435,12,0,3,0,1,0,0,2,7,5,1,1,2,0,7,89,2,14,7,63,62,8,1,771,72,2,0,23,0,0,0,0,3,0,"4,469",0,39,5,0,3,0,0,0,0,4,68,0,0,0,7,0,1,3,15,0,194,41,0,1,0,1,22,1,10,0,3,0,0,1,38,2,8,64,0,0,17,0,0,0,3,9,37,0
Paper and paper products            ,56,1,3,0,1,3,1,116,62,16,58,97,207,202,95,187,29,3,9,0,30,203,212,2,2,209,35,8,12,7,43,176,21,14,5,2,0,54,42,40,3,38,2,9,1,41,24,2,2,47,12,22,3,2,73,2,227,56,338,165,2,66,9,8,137,86,66,217,"1,030",66,77,125,280,1,72,145,1,23,94,68,43,87,58,214,322,194,17,39,41,79,14,157,9,594,587,577,136,3,17,57,125,44,2,154,0
Printing and recording services            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,52,662,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,2,54,0,0,1,0,0,0,0,22,0,0,68,936,812,0,1,0,0,7,9,0,93,"1,019",11,87,60,3,297,539,189,0,24,84,133,0,4,0,87,190,5,0,12,1,117,1,3,10,719,"1,070",832,75,17,69,5,176,0,0,0,0
Coke and refined petroleum products           ,926,34,39,7,111,73,0,48,10,2,22,5,27,14,29,41,8,6,3,1,27,31,8,1,6,6,12,3,406,0,8,21,122,120,4,7,1,80,7,11,22,2,5,9,2,26,1,4,1,167,5,1,22,22,69,9,"2,186",276,"2,911",72,188,480,542,129,758,427,41,199,12,15,89,74,3,149,71,47,27,8,124,20,39,156,136,55,54,93,12,252,2,192,29,84,104,247,309,286,260,12,13,2,37,62,9,39,0
"Paints, varnishes and similar coatings, printing ink and mastics       ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,70,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,13,2,18,41,559,10,0,2,8,1,5,2,40,0,0,0,0,6,0,640,0,11,1,0,2,0,0,0,0,1,17,235,0,0,5,0,1,3,14,0,6,33,0,0,0,2,38,58,2,0,1,0,0,0,0,1,61,46,0,7,0,0,0,6,0,2,0,0
"Soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations     ",0,0,0,0,0,0,0,3,1,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,2,533,0,5,1,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,1,3,1,47,117,0,1,0,0,0,0,0,123,0,0,0,6,0,0,1,11,0,0,42,0,0,1,0,13,9,1,1,2,0,0,3,193,2,62,163,43,168,5,6,1,15,3,0,119,0
Other chemical products             ,0,1,0,6,0,9,0,1,1,0,0,1,0,0,0,0,0,0,0,29,214,10,133,0,1,1,0,0,0,1,0,1,3,2,0,1,36,1,0,0,0,1,0,1,0,19,12,0,0,15,0,0,0,1,0,0,12,0,14,1,0,1,0,0,0,0,0,7,16,28,0,5,0,0,3,0,0,0,35,0,0,1,32,8,13,1,0,1,0,0,0,14,1,16,0,35,0,0,0,0,0,0,0,0,0
"Industrial gases, inorganics and fertilisers (all inorganic chemicals) - 20.11/13/15      ",482,0,0,0,2,0,0,1,2,0,0,1,2,1,0,9,9,5,0,0,0,4,0,0,68,1,2,2,89,20,1,6,5,47,6,7,1,1,6,0,1,26,0,5,0,0,0,0,0,8,267,46,99,0,0,0,17,0,17,0,0,6,0,0,0,0,5,8,0,0,0,7,0,0,2,0,0,0,40,1,1,0,4,8,0,3,0,4,0,0,0,0,2,8,0,171,0,9,0,0,0,1,3,0,0
Petrochemicals - 20.14/16/17/60             ,0,0,0,0,0,33,1,0,1,1,0,1,0,6,0,3,42,131,7,4,7,26,6,132,237,53,260,35,"2,147",37,186,"1,915",69,55,10,10,3,54,61,90,18,412,18,80,2,78,88,5,0,19,0,0,18,8,4,0,21,1,256,1,0,22,0,0,0,0,0,49,1,0,0,43,0,0,1,1,0,0,50,3,3,23,355,219,0,24,0,8,0,0,0,1,18,12,4,0,0,0,0,0,0,0,3,0,0
"Dyestuffs, agro-chemicals - 20.12/20            ","1,401",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,1,1,0,0,1,1,0,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,28,0,14,0,0,10,0,0,0,0,15,13,0,4,0,5,0,0,3,0,0,0,51,1,1,0,9,3,1,5,0,9,0,0,0,0,1,21,4,1,0,0,2,0,1,0,0,0,0
Basic pharmaceutical products and pharmaceutical preparations          ,219,0,0,0,0,0,0,0,0,1,0,3,0,5,62,0,0,1,0,0,0,0,0,0,0,14,9,0,2,4,"1,023",0,0,0,0,0,0,2,4,0,52,0,0,0,0,0,12,0,0,10,13,2,0,0,0,0,7,5,96,5,0,3,0,0,0,0,2,21,2,0,0,47,0,0,0,1,0,0,48,2,2,33,32,548,0,50,276,4,0,0,0,0,9,152,18,"4,235",36,0,0,0,0,49,0,0,0
Rubber and plastic products            ,760,0,2,1,0,16,0,364,256,5,313,20,304,283,7,28,332,30,2,0,22,490,171,7,20,350,45,3,12,10,367,410,16,8,10,3,2,294,153,248,197,"1,281",17,283,3,52,33,2,1,175,0,0,0,2,197,1,"2,382",9,741,772,5,361,0,0,358,40,10,196,2,0,16,46,1,1,19,41,0,9,120,6,3,1,18,151,8,19,0,14,0,0,3,200,16,118,101,330,44,150,5,2,1,22,6,1,0
"Cement, lime, plaster and articles of concrete, cement and plaster ",0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,10,21,1,2,1,0,12,23,189,3,0,0,101,0,0,6,1,0,0,0,1,0,0,0,4,0,0,3,2,16,0,"7,387",0,6,8,2,3,0,0,0,0,7,76,0,0,0,4,0,0,0,1,0,134,24,0,0,0,1,16,3,15,0,2,0,0,0,0,1,98,116,26,0,17,20,1,29,9,0,0,0
"Glass, refractory, clay, other porcelain and ceramic, stone and abrasive products - 23.1-4/7-9   ",0,0,0,0,0,148,0,8,8,0,2,3,5,84,0,365,144,1,0,0,5,1,0,0,0,32,2,3,26,1,16,99,31,13,113,3,0,40,8,115,10,28,36,1,0,1,2,0,0,7,0,0,0,0,63,0,"2,161",1,44,94,7,10,0,0,0,0,31,126,0,0,0,5,0,0,0,0,0,134,34,1,1,0,2,15,0,6,0,4,0,0,0,1,3,55,69,23,0,21,10,0,0,16,0,1,0
Basic iron and steel            ,0,0,0,0,29,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,2,0,3,0,1,0,4,0,0,0,0,8,78,8,32,10,28,21,83,314,55,994,55,"1,135",28,140,2,37,0,195,0,0,0,0,304,0,722,0,45,1,0,17,0,0,0,0,1,38,0,0,0,12,0,0,5,2,0,0,21,2,2,2,73,146,0,7,0,4,0,0,0,0,8,0,0,0,0,7,15,0,0,0,2,0,0
Other basic metals and casting           ,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,2,1,1,1,1,3,0,3,0,4,0,5,0,6,46,2,2,61,6,91,38,200,15,679,4,2,418,3,18,95,0,21,246,286,50,21,0,0,0,"1,078",0,59,1,0,11,0,0,0,0,1,40,0,0,0,12,0,0,4,0,0,0,35,1,1,0,6,77,0,4,0,3,0,0,0,2,4,0,0,0,0,0,2,0,0,0,1,0,0
Weapons and ammunition             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,"1,753",0,0,0,0,0,0,0,0,0,0,0
"Fabricated metal products, excl. machinery and equipment and weapons & ammunition - 25.1-3/25.5-9   ",164,0,0,0,174,4,12,15,14,1,6,2,19,110,0,9,62,8,1,8,34,63,164,4,9,143,55,2,8,6,255,180,5,41,519,30,321,"1,052",322,242,"2,060","1,289",27,903,9,99,201,6,12,633,162,30,2,0,624,0,"6,818",57,227,10,0,50,0,0,1,0,9,191,2,0,1,49,1,1,14,33,0,165,61,5,4,5,88,289,9,26,0,13,0,0,1,39,380,15,52,66,0,0,0,0,3,0,2,1,0
"Computer, electronic and optical products           ",0,1,0,0,0,1,2,2,4,0,2,2,1,2,7,8,2,7,5,4,4,28,156,1,10,2,13,3,6,0,9,19,7,12,1,3,31,3,"1,008",148,144,43,6,28,9,13,68,1,1,299,259,45,10,0,6,0,183,0,557,52,9,43,8,2,104,45,20,101,73,301,322,275,95,0,1,32,1,6,53,17,13,44,486,157,76,27,42,29,116,156,2,77,89,"1,702",294,656,58,93,16,1,15,44,27,17,0
Electrical equipment              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,1,1,10,96,14,2,3,19,216,3,"1,472",2,1,1,1,1,61,69,24,0,0,14,0,"4,556",0,285,22,0,64,0,0,0,0,5,62,0,14,1,6,2,27,13,25,0,13,30,1,1,1,13,132,5,14,0,168,0,0,62,0,5,376,51,23,41,0,7,1,26,0,3,1,0
Machinery and equipment n.e.c.            ,6,24,0,39,"1,371",77,166,30,9,1,1,9,59,50,1,88,211,72,10,0,34,45,68,0,4,7,5,2,5,12,262,20,51,55,17,26,109,59,24,704,925,14,8,2,3,6,11,2,2,486,596,248,79,0,178,0,"2,118",36,483,27,20,49,0,0,1,1,3,98,1,2,13,30,0,30,8,1,0,2,94,3,3,9,94,88,6,15,0,667,0,0,25,185,15,112,0,0,3,0,0,15,23,2,43,0,0
"Motor vehicles, trailers and semi-trailers           ",0,52,0,0,0,9,0,1,1,0,1,0,2,1,0,0,3,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,8,2,1,1,0,1,0,0,0,0,0,1,0,18,0,0,0,86,0,0,3,17,22,0,224,"2,816",178,66,0,625,0,0,117,47,2,74,0,0,25,23,13,46,28,48,0,12,54,0,0,26,1,13,3,3,0,382,19,0,12,9,15,3,138,94,138,0,5,0,4,4,1,1,0
Ships and boats             ,0,0,2,0,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,4,25,673,0,0,0,0,25,0,1,0,0,0,0,0,0,4,0,7,1,0,2,242,0,0,0,0,7,0,0,0,2,0,0,1,0,0,0,36,0,0,0,4,18,0,1,0,1,0,0,0,0,0,294,0,0,0,3,0,0,0,0,0,0,0
Air and spacecraft and related machinery          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,9,0,1,2,14,7,15,1,6,58,1,1,"2,217",3,2,1,0,"1,996",5,0,0,0,0,0,0,4,0,52,0,0,13,0,0,0,0,0,22,0,0,0,12,0,0,12,4,0,0,48,2,1,0,31,177,0,8,0,4,0,0,0,0,9,"2,381",0,0,0,10,3,0,0,0,0,0,0
Other transport equipment - 30.2/4/9           ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,2,8,161,11,0,2,0,2,485,0,2,0,0,73,0,0,0,0,0,0,1,0,26,0,98,1,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,22,0,0,0,1,23,0,0,0,1,0,0,0,0,1,5,0,164,0,0,0,0,0,4,0,0,0
Furniture               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,15,1,1,35,0,1,0,1,0,0,0,0,0,0,253,0,2,1,0,0,0,0,0,0,0,5,0,0,0,5,0,2,4,4,0,2,25,0,0,0,0,14,1,1,0,1,0,0,0,0,0,383,141,95,55,1,1,0,15,5,1,0,0
Other manufactured goods             ,16,2,3,0,17,0,4,14,4,0,0,2,3,1,2,0,0,0,0,0,6,0,5,0,1,1,3,1,4,1,32,15,2,15,1,8,1,2,0,0,7,0,8,8,0,0,1,8,0,34,20,11,5,4,23,1,309,14,18,6,1,35,39,5,105,43,15,26,7,165,15,16,1,3,27,108,2,3,35,13,0,4,10,54,53,29,36,7,12,6,1,33,5,29,112,457,55,55,7,16,34,3,0,9,0
Repair and maintenance of ships and boats         ,0,0,25,0,124,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,89,0,0,0,0,32,0,16,0,0,0,0,0,0,1,0,4,0,0,5,1,0,3,0,0,2,0,0,0,1,0,0,0,17,0,0,1,0,0,0,4,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
